metrekare,Brüt_Metrekare,oda_sayisi,kat,Eşya_Durumu,binayasi,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
120,150,4,4.Kat,Eşyalı,21 Ve Üzeri,Kombi Doğalgaz,950000,adana,6,Boş,,Var,Kat Mülkiyeti,1
100,125,4,3.Kat,Boş,4,Kombi Doğalgaz,1250000,adana,10,Boş,,Var,,1
89,95,3,4.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1750000,adana,14,Boş,Uygun,Var,,1
40,55,2,6.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1300000,adana,14,Boş,Uygun,Yok,,1
140,150,4,Düz Giriş (Zemin),Boş,10-May,Klimalı,1700000,adana,4,Boş,Uygun,Yok,Kat Mülkiyeti,1
40,55,2,12.Kat,Boş,10-May,Klimalı,765000,adana,13,Kiracı Oturuyor,,,Kat Mülkiyeti,1
90,110,3,2.Kat,,0 (Yeni),Kombi Doğalgaz,1700000,adana,14,Boş,Uygun,,,1
180,750,5,,Boş,16-20,Klimalı,3950000,adana,2,Mülk Sahibi Oturuyor,Uygun,,,1
105,145,4,8.Kat,,4,Kombi Doğalgaz,1995000,adana,11,Boş,Uygun,,Kat Mülkiyeti,1
110,130,4,4.Kat,,10-May,Kombi Doğalgaz,2550000,adana,11,Boş,Uygun,Yok,Kat İrtifakı,1
100,120,3,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2465000,adana,6,Boş,,,Kat Mülkiyeti,1
130,145,4,2.Kat,Boş,16-20,Kombi Doğalgaz,2085000,adana,9,Boş,Uygun,Yok,Kat Mülkiyeti,1
90,110,3,2.Kat,Boş,10-May,Klimalı,1785000,adana,3,Kiracı Oturuyor,Uygun,Yok,Kat Mülkiyeti,1
100,120,4,2.Kat,Boş,4,Kombi Doğalgaz,2090000,adana,10,Boş,Uygun,Yok,Kat İrtifakı,1
140,150,4,5.Kat,Boş,3,Klimalı,3200000,adana,5,Boş,Uygun,Yok,Kat Mülkiyeti,2
45,50,2,14.Kat,Boş,0 (Yeni),Kombi Doğalgaz,975000,adana,14,Boş,Uygun,Yok,Kat Mülkiyeti,1
45,60,2,4.Kat,Boş,0 (Yeni),Klimalı,1100000,adana,12,Boş,Bilinmiyor,Yok,,1
220,250,5,8.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,4200000,adana,12,Mülk Sahibi Oturuyor,Uygun,Var,Kat Mülkiyeti,1
80,95,3,12.Kat,,0 (Yeni),Klimalı,1395000,adana,13,Boş,Bilinmiyor,Yok,,1
280,300,6,16.Kat,,4,Merkezi (Pay Ölçer),13000000,adana,3,Boş,,,,2
85,110,3,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2370000,adana,14,Boş,Uygun,Yok,Kat Mülkiyeti,2
125,175,4.5,1.Kat,Boş,10-May,Kombi Doğalgaz,2700000,adana,10,Boş,Uygun,Var,Kat Mülkiyeti,2
140,150,4,6.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,2390000,adana,8,Boş,Uygun,Var,Kat Mülkiyeti,1
195,200,5,,,10-May,Sobalı,4100000,adana,2,Kiracı Oturuyor,Bilinmiyor,Var,,1
110,130,4,17.Kat,Boş,3,Kombi Doğalgaz,3800000,adana,3,Mülk Sahibi Oturuyor,Uygun,Var,Kat İrtifakı,2
130,140,4,4.Kat,,10-May,Kombi Doğalgaz,2300000,adana,4,Mülk Sahibi Oturuyor,,,,2
70,80,3,2.Kat,,16-20,Klimalı,1185000,adana,12,Boş,Uygun,,,1
200,250,6,9.Kat,Boş,0 (Yeni),Kombi Doğalgaz,5498000,adana,15,Boş,,,,2
110,160,4,5.Kat,,21 Ve Üzeri,Klimalı,1995000,adana,7,Boş,Bilinmiyor,Yok,,1
80,90,3,Yüksek Giriş,Boş,2,Klimalı,1295000,adana,10,Boş,Bilinmiyor,Yok,,1
200,280,6,,Boş,16-20,Kombi Doğalgaz,6250000,adana,3,Boş,Uygun,,Kat Mülkiyeti,3
110,125,4,4.Kat,,4,Klimalı,1600000,adana,11,Boş,,,,2
280,300,6,16.Kat,,4,Merkezi (Pay Ölçer),13000000,adana,3,Boş,Bilinmiyor,Yok,,2
115,130,3,1.Kat,Boş,10-May,Klimalı,2250000,adana,5,Boş,Uygun,Yok,Kat Mülkiyeti,1
105,160,4,7.Kat,Boş,4,Kombi Doğalgaz,1850000,adana,13,Boş,Uygun,Yok,Kat Mülkiyeti,2
